name;korp;socr;street_code;index;gninmb;uno;ocatd
1,10,12,12соор1,13,13А,14,15,16,17,18/17;;ДОМ;37000001000000400;153000;3702;;24401000000
102/18,103,107/14,109,111,113,115,117;;ДОМ;37000001000000400;153012;3702;;24401000000
106/31,110,20А,56,56А,56стр8,58;;ДОМ;37000001000000400;153034;3702;;24401000000
119/21,137/32,139/1,29,29А,31,31А,33,33А;;ДОМ;37000001000000400;153012;3702;;24401000000
18А,19,19А,2/4,21,23,30,32,34,36А,4,42,5;;ДОМ;37000001000000400;153000;3702;;24401000000
35,37,37А,39,41,41А,43,59,61,63,65,71/5;;ДОМ;37000001000000400;153012;3702;;24401000000
6,64,64/19,7,8,9;;ДОМ;37000001000000400;153000;3702;;24401000000
73/12,77,77А,79/21,85,85А,91А;;ДОМ;37000001000000400;153012;3702;;24401000000
11,13,14,16,18,7,9;;ДОМ;37000001000127600;153002;3702;;24401000000
17,19,19стр2,19стр3,20,21,21стр4,21стр5;;ДОМ;37000001000127600;153037;3702;;24401000000
23,23стр5,25,27,29,31,32,33,35;;ДОМ;37000001000127600;153037;3702;;24401000000
1,10,10А,10Б,10Бстр1,10Бстр2,10Бстр4;;ДОМ;37000001000013800;153022;3702;;24401000000
10Бстр5,12,12А,12Б,12соор1,14,25,29,29А;;ДОМ;37000001000013800;153022;3702;;24401000000
3,4,47,47А,47стр2,47стр7,5,50,51,53,54;;ДОМ;37000001000013800;153022;3702;;24401000000
55,55А,55Астр1,55Б,57,58,58А,58стр2,59;;ДОМ;37000001000013800;153022;3702;;24401000000
59А,5стр1,6,60,62,63,64,65,65А,66,66А,67;;ДОМ;37000001000013800;153022;3702;;24401000000
68,69,7,70,70А,71,72,73,75,77,78,8,8стр1;;ДОМ;37000001000013800;153022;3702;;24401000000
1,10,11,11А,13,13А,15,15А,16/50,18,1А,1Б;;ДОМ;37000001000128600;153002;3702;;24401000000
19,19А,19Б,21,23,23А,25,27,29,29А,36,50;;ДОМ;37000001000128600;153037;3702;;24401000000
1Г,1Д,1стр1,2,3,3/25,32,32А,32Астр1;;ДОМ;37000001000128600;153002;3702;;24401000000
32Астр2,3А,5/14,6,8,8А;;ДОМ;37000001000128600;153002;3702;;24401000000
52,54,56,58,60;;ДОМ;37000001000128600;153037;3702;;24401000000
10,11,14,15,16,18,2,20,20В,20Г,3,30А,31;;ДОМ;37000001000130500;153025;3702;;24401000000
31А,31стр3,32,33,34,35/10,36,37/7,39;;ДОМ;37000001000130500;153025;3702;;24401000000
40/9,41,43,43А,45,47,47А,47Б,48/2,49,5;;ДОМ;37000001000130500;153025;3702;;24401000000
50/1,52/2,58,58А,5А,5Б,60,64/1,66,68,7;;ДОМ;37000001000130500;153025;3702;;24401000000
70,72/2,74/1,76,78,78/2,7А,7Б,7Д,9,9стр3;;ДОМ;37000001000130500;153025;3702;;24401000000
1,10,11,12,12А,12стр16,12стр21,12стр24;;ДОМ;37000001000043100;153051;3702;;24401000000
12стр25,12стр26,12стр27,12стр29,12стр31;;ДОМ;37000001000043100;153051;3702;;24401000000
12стр35,12стр36,12стр39,13,13А,14,15,16;;ДОМ;37000001000043100;153051;3702;;24401000000
17,17А,17соор1,18,1А,1Б,1Бсоор1,1Бстр2;;ДОМ;37000001000043100;153051;3702;;24401000000
1Г,1Д,2,20,21,21А,22,22А,22Б,22В,25,25А;;ДОМ;37000001000043100;153051;3702;;24401000000
28,29,2А,2Б,2Г,2Д,2соор1,2стр2,3А,3Б,3к1;;ДОМ;37000001000043100;153051;3702;;24401000000
3к2,3соор1,4,4А,5,5А,6,6А,6Б,6Г,7,7А,7Б;;ДОМ;37000001000043100;153051;3702;;24401000000
7В,7Г,8,9;;ДОМ;37000001000043100;153051;3702;;24401000000
10,12,17,18,19/21,20,22,23,24,4,7,9;;ДОМ;37000001000048900;153000;3702;;24401000000
100,100А,15,26/15,30,31,32,33/13,34/11;;ДОМ;37000001000048900;153008;3702;;24401000000
109,111,113,113стр1,115,115А,117,119;;ДОМ;37000001000048900;153035;3702;;24401000000
114,114стр1,116,116А,118,118А,118Б,118В;;ДОМ;37000001000048900;153022;3702;;24401000000
119стр1,122,122А,122Б,124,124А,124Астр2;;ДОМ;37000001000048900;153035;3702;;24401000000
120,120А;;ДОМ;37000001000048900;153022;3702;;24401000000
124Астр3,126,128,128А,130,130А,155,157;;ДОМ;37000001000048900;153035;3702;;24401000000
132,134,134А,136,136А,136стр18,136стр5;;ДОМ;37000001000048900;153032;3702;;24401000000
138,138А,138стр1,140,142,142А,142стр4;;ДОМ;37000001000048900;153032;3702;;24401000000
144,146,148,150,150А,152,152А,152Б,152В;;ДОМ;37000001000048900;153032;3702;;24401000000
152Г,152д,152ж,154,154А,156,158,158А;;ДОМ;37000001000048900;153032;3702;;24401000000
157стр25,157стр27,95стр9;;ДОМ;37000001000048900;153035;3702;;24401000000
