name;socr;code;index;gninmb;uno;ocatd;status
Ивановская;обл;3700000000000;;3700;;24000000000;0
Иваново;г;3700000100000;;3702;;24401000000;2
14;п/о;3700000100299;153014;3702;;24401000000;0
Дальний;п;3700000100499;153007;3702;;24401000000;0
Глинищево;м;3700000100599;153014;3702;;24401000000;0
Кинешма;г;3700000200000;;3703;;24405000000;0
Ивановский;р-н;3700100000000;;;;24207000000;0
Андреево;д;3700100000200;153009;3711;;24207824027;0
Анкудиново;д;3700100000300;;3711;;24207848002;0
Антониха;д;3700100000400;153533;3711;;24207840003;0
Афанасово;д;3700100000500;;3711;;24207812002;0
Бабенки;д;3700100000600;153535;3711;;24207824002;0
Баглаево;д;3700100000700;;3711;;24207856002;0
Балахонки;д;3700100000800;;3711;;24207856001;0
Бедряево;д;3700100000900;;3711;;24207868002;0
Белоусиха;д;3700100001000;153507;3711;;24207860024;0
Беляницы;д;3700100001100;;3711;;24207804001;0
Беркино;д;3700100001200;;3711;;24207848003;0
Бибирево;с;3700100001300;153505;3711;;24207857005;0
Богданиха;д;3700100001400;153550;3711;;24207840001;0
Богородское;с;3700100001500;;3711;;24207812001;0
Богородское;д;3700100001600;;3711;;24207804012;0
Боевик;д;3700100001700;153510;3711;;24207840004;0
Орьмово Большое;д;3700100001800;153531;3711;;24207840029;0
Брюхово;с;3700100002000;153503;3711;;24207856003;0
Буньково;с;3700100002100;153502;3711;;24207856018;0
Бурмакино;д;3700100002200;153550;3711;;24207840005;0
Бухарово;д;3700100002300;;3711;;24207824003;0
Бяково;д;3700100002400;;3711;;24207812003;0
Василево;д;3700100002500;153508;3711;;24207860002;0
Васильевское;д;3700100002600;153508;3711;;24207860003;0
Волгасиха;д;3700100002700;153532;3711;;24207840006;0
Волжанка;д;3700100002800;153550;3711;;24207840007;0
Востра;д;3700100002900;153535;3711;;24207824004;0
Вотола;д;3700100003000;153518;3711;;24207824005;0
Высоково;д;3700100003100;153505;3711;3722;24207857004;0
Вятчинки;д;3700100003200;;3711;;24207840008;0
Гляденцево;д;3700100003300;;3711;;24207868003;0
Говядово;д;3700100003400;;3711;;24207804002;0
Гоголево;д;3700100003500;153550;3711;;24207840009;0
Голчаново;д;3700100003600;;3711;;24207848004;0
Голяково;д;3700100003700;153535;3711;;24207824006;0
Горбово;д;3700100003800;153507;3711;;24207860025;0
Горенцово;д;3700100003900;153518;3711;;24207824007;0
Горшково;д;3700100004000;153535;3711;;24207824008;0
Григорово;д;3700100004100;153503;3711;;24207856004;0
Гусево;д;3700100004200;153502;3711;;24207856019;0
Дегтярево;д;3700100004300;;3711;;24207824009;0
Дерябиха;д;3700100004400;;3711;;24207840010;0
Десятское;д;3700100004500;153532;3711;;24207840011;0
Добрынское;д;3700100004600;153540;3711;;24207868004;0
Дома Радиотранссети;нп;3700100004700;153027;3711;;24207858003;0
Дубники;д;3700100004800;153512;3711;;24207840013;0
Дубынино;д;3700100004900;153550;3711;;24207840014;0
Дьяково;д;3700100005000;;3711;;24207804003;0
Егорий;с;3700100005100;153503;3711;;24207856005;0
Елюнино;с;3700100005200;;3711;;24207860005;0
Железнодорожной станции Ермолино;д;3700100005300;;3711;;24207868005;0
Железнодорожная станция Ермолино;д;3700100005304;153540;3711;;24207868005;0
Жары;д;3700100005400;153508;3711;;24207860006;0
Железнодорожный;с;3700100005500;153531;3711;;24207858002;0
Желтоносово;д;3700100005600;;3711;;24207840015;0
Жилино;д;3700100005700;153518;3711;;24207873002;0
Жирохово;д;3700100005800;153532;3711;;24207840016;0
Жуково;д;3700100005900;;3711;;24207824011;0
Заболотье;д;3700100006000;153502;3711;;24207856020;0
Завражново;д;3700100006100;153518;3711;;24207824012;0
Залесье;д;3700100006200;153520;3711;;24207848005;0
Замайцево;д;3700100006300;153503;3711;;24207856006;0
Запольново;д;3700100006400;153518;3711;;24207824013;0
Заречье;д;3700100006500;;3711;;24207804004;0
Захарьино;д;3700100006600;153532;3711;;24207840017;0
Зеленый Городок;д;3700100006700;;3711;;24207824014;0
Зольново;д;3700100006800;153540;3711;;24207868006;0
Зыбиха;д;3700100006900;;3711;;24207848006;0
Иванково;д;3700100007000;;3711;;24207856007;0
Иванцево;д;3700100007100;;3711;;24207804013;0
Игнатово;д;3700100007200;;3711;;24207824015;0
Игнатцево;д;3700100007300;153550;3711;;24207840018;0
Измайлово;д;3700100007400;153507;3711;;24207860026;0
Иневеж;д;3700100007500;;3711;;24207848007;0
Исаево;д;3700100007600;153508;3711;;24207860007;0
Кадниково;д;3700100007700;;3711;;24207848008;0
Калачево;с;3700100007800;153507;3711;;24207860027;0
Калачево;д;3700100007900;;3711;;24207840019;0
Каликино;д;3700100008000;;3711;;24207857002;0
Каликино;д;3700100008100;153508;3711;;24207860008;0
Клинцево;д;3700100008200;;3711;;24207856008;0
Кожевниково;д;3700100008300;153508;3711;;24207860009;0
Кожевницы;д;3700100008400;;3711;;24207840020;0
Колбацкое;с;3700100008500;;3711;;24207868007;0
Колесницы Большие;д;3700100008600;153532;3711;;24207840021;0
Коляново;п;3700100008751;153009;3711;;24207824001;0
Конохово;д;3700100008800;;3711;;24207804006;0
Котцыно;с;3700100008900;153507;3711;;24207860028;0
Котюрево;д;3700100009000;;3711;;24207868008;0
Кохма;ст;3700100009100;155110;3711;;24207858002;0
Кочедыково;д;3700100009200;153511;3711;;24207840022;0
Кочорский;д;3700100009300;;3711;;24207840023;0
Кочнево;д;3700100009400;153502;3711;;24207856021;0
Красное;д;3700100009500;153507;3711;;24207860029;0
Железнодорожной станции Красносельская;д;3700100009600;153507;3711;;24207860030;0
Красносельская;ж/д_ст;3700100009601;153507;3711;;24207860000;0
Кривцово;д;3700100009700;;;;24207804005;0
Круглово;д;3700100009800;;3711;;24207824019;0
Крутово;д;3700100009900;153535;3711;;24207824017;0
Крюково;д;3700100010000;;3711;;24207804014;0
Кулиги;д;3700100010100;153520;3711;;24207848009;0
Куликово;д;3700100010200;153508;3711;;24207860010;0
Куминово;д;3700100010300;;3711;;24207848010;0
Купалищи;д;3700100010400;;3711;;24207824018;0
Лебяжий Луг;д;3700100010500;153009;3711;;24207824020;0
Лесной;п;3700100010699;153504;3711;;24207000000;0
Лодышкино;д;3700100010700;153550;3711;;24207840024;0
Ломы;д;3700100010800;;3711;;24207824021;0
Лупаново;д;3700100010900;153518;3711;;24207824000;0
Лысново;д;3700100011000;153518;3711;;24207824023;0
Максаки;д;3700100011100;153505;3711;;24207857003;0
Малинки;д;3700100011200;;3711;;24207860011;0
Орьмово Малое;д;3700100011300;;3711;;24207840030;0
Манульцево;д;3700100011400;153550;3711;;24207840025;0
Марицыно;д;3700100011500;153540;3711;;24207868009;0
Матрохино;д;3700100011600;153508;3711;;24207860012;0
Микшино;д;3700100011700;153503;3711;;24207856009;0
Мильцево;д;3700100011800;153023;3711;;24207804007;0
Михалево;с;3700100011900;153534;3711;;24207848011;0
Михалицы;с;3700100012000;153533;3711;;24207840026;0
Мосеиха;д;3700100012199;153510;3711;;24207000000;0
МТЦ Березовая роща;п;3700100012299;153505;3711;;24207857000;0
Нежилово;д;3700100012300;153510;3711;;24207840027;0
Нефедьево;д;3700100012400;153508;3711;;24207860013;0
Никольское;с;3700100012500;153507;3711;;24207812012;0
Никульское;д;3700100012600;;3711;;24207824016;0
