name;socr;code;index;gninmb;uno;ocatd
Строитель;тер. СНТ;37000001000000100;153521;3702;;24401000000
1-й;проезд;37000001000000200;153020;3702;;24401000000
10-й;проезд;37000001000000300;;3702;;24401000000
10 Августа;ул;37000001000000400;;3702;;24401000000
10-я;линия;37000001000000500;153003;3702;;24401000000
11-я;линия;37000001000000600;153031;3702;;24401000000
11-й;проезд;37000001000000700;153006;3702;;24401000000
12-я;линия;37000001000000800;153031;3702;;24401000000
12-й;проезд;37000001000000900;153006;3702;;24401000000
13-я;линия;37000001000001000;153031;3702;;24401000000
13-й;проезд;37000001000001100;153006;3702;;24401000000
14-я;линия;37000001000001200;153031;3702;;24401000000
Железнодорожник-3;тер. СНТ;37000001000001300;153045;3702;;24401000000
Железнодорожник-3;снт;37000001000001302;153000;3702;;24401000000
14-й;проезд;37000001000001400;153006;3702;;24401000000
15-я;линия;37000001000001500;153031;3702;;24401000000
15-й;проезд;37000001000001600;153006;3702;;24401000000
16-я;линия;37000001000001700;153031;3702;;24401000000
17-я;линия;37000001000001800;153031;3702;;24401000000
18-я;линия;37000001000001900;153031;3702;;24401000000
19-я;линия;37000001000002000;153031;3702;;24401000000
2-я;линия;37000001000002100;;3702;;24401000000
2-й;проезд;37000001000002200;;3702;;24401000000
20-я;линия;37000001000002300;153031;3702;;24401000000
21-я;линия;37000001000002400;153031;3702;;24401000000
22-я;линия;37000001000002500;153031;3702;;24401000000
23-я;линия;37000001000002600;153031;3702;;24401000000
24-я;линия;37000001000002700;153031;3702;;24401000000
25-я;линия;37000001000002800;153031;3702;;24401000000
3 Июня;ул;37000001000002900;153045;3702;;24401000000
3 Июня;пер;37000001000003000;153045;3702;;24401000000
3-й;проезд;37000001000003100;153020;3702;;24401000000
3-я;линия;37000001000003200;;3702;;24401000000
4-я;линия;37000001000003300;153003;3702;;24401000000
4-й;проезд;37000001000003400;;3702;;24401000000
5-й;проезд;37000001000003500;153020;3702;;24401000000
5-я;линия;37000001000003600;;3702;;24401000000
6-й;проезд;37000001000003700;153020;3702;;24401000000
6-я;линия;37000001000003800;;3702;;24401000000
7-я;линия;37000001000003900;153003;3702;;24401000000
8-я;линия;37000001000004000;153003;3702;;24401000000
Городского Треста Столовых;тер. СНТ;37000001000004100;153000;3702;;24401368000
СНТ городского треста столовых;снт;37000001000004102;153000;3702;;24401368000
8-й;проезд;37000001000004200;153020;3702;;24401000000
9-я;линия;37000001000004300;153003;3702;;24401000000
9-й;проезд;37000001000004400;153020;3702;;24401000000
СНТ Строитель участок 23;снт;37000001000004500;153000;3702;;24401000000
1-й Авдотьинский;пер;37000001000004600;153023;3702;;24401000000
Авдотьинский 1-й;пер;37000001000004602;153023;3702;;24401000000
2-й Авдотьинский;пер;37000001000004700;153023;3702;;24401000000
Авдотьинский 2-й;пер;37000001000004702;153023;3702;;24401000000
3-й Авдотьинский;пер;37000001000004800;153023;3702;;24401000000
Авдотьинский 3-й;пер;37000001000004802;153023;3702;;24401000000
4-й Авдотьинский;пер;37000001000004900;153023;3702;;24401000000
Авдотьинский 4-й;пер;37000001000004902;153023;3702;;24401000000
5-й Авдотьинский;пер;37000001000005000;153023;3702;;24401000000
Авдотьинский 5-й;пер;37000001000005002;153023;3702;;24401000000
6-й Авдотьинский;пер;37000001000005100;153023;3702;;24401000000
Авдотьинский 6-й;пер;37000001000005102;153023;3702;;24401000000
7-й Авдотьинский;пер;37000001000005200;153023;3702;;24401000000
Авдотьинский 7-й;пер;37000001000005202;153023;3702;;24401000000
8-й Авдотьинский;пер;37000001000005300;153023;3702;;24401000000
Авдотьинский 8-й;пер;37000001000005302;153023;3702;;24401000000
9-й Авдотьинский;пер;37000001000005400;153023;3702;;24401000000
Авдотьинский 9-й;пер;37000001000005402;153023;3702;;24401000000
Азовская;ул;37000001000005500;153021;3702;;24401000000
Азовский;пер;37000001000005600;153021;3702;;24401000000
СНТ Строитель участок 35;снт;37000001000005700;153000;3702;;24401000000
Академическая;ул;37000001000005800;153045;3702;;24401000000
Алексеевский;пер;37000001000005900;153008;3702;;24401000000
2-й Алексеевский;пер;37000001000006000;153008;3702;;24401000000
Алексеевский 2-й;пер;37000001000006002;153008;3702;;24401000000
Амбулаторный;пер;37000001000006100;153003;3702;;24401000000
Андреевская;ул;37000001000006200;153038;3702;;24401000000
Аптечный;пер;37000001000006300;153000;3702;;24401000000
Арсения;ул;37000001000006400;;3702;;24401000000
Афанасьева;ул;37000001000006500;153045;3702;;24401000000
Аэродромная;ул;37000001000006600;153022;3702;;24401000000
1-й Бабушкина;пер;37000001000006700;153031;3702;;24401000000
Бабушкина 1-й;пер;37000001000006702;153031;3702;;24401000000
2-й Бабушкина;пер;37000001000006800;153031;3702;;24401000000
Бабушкина 2-й;пер;37000001000006802;153031;3702;;24401000000
3-й Бабушкина;пер;37000001000006900;153031;3702;;24401000000
Бабушкина 3-й;пер;37000001000006902;153031;3702;;24401000000
Багаева;ул;37000001000007000;153000;3702;;24401000000
Багратиона;ул;37000001000007100;153045;3702;;24401000000
Базисная;ул;37000001000007200;153005;3702;;24401000000
